Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2372500 Meter
Hoehenlage        : 270 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2372500  1  1  1  10.4  986 204  6.0 7  7.0  86    0    0 344 -354  0
3844500 2372500  1  1  2  10.9  986 213  6.7 7  7.3  87    0    0 343 -355  0
3844500 2372500  1  1  3  11.3  986 203  7.3 8  7.6  88    0    0 349 -356  0
3844500 2372500  1  1  4  11.5  986 211  7.4 8  7.5  87    0    0 357 -357  0
3844500 2372500  1  1  5  11.6  986 218  7.5 8  7.5  86    0    0 358 -359  0
3844500 2372500  1  1  6  11.8  986 229  7.2 6  7.5  86    0    0 343 -360  0
3844500 2372500  1  1  7  11.9  986 227  8.2 8  7.5  84    0    0 344 -361  0
3844500 2372500  1  1  8  11.9  987 211  7.4 8  7.5  84    0    0 360 -362  0
3844500 2372500  1  1  9  12.3  987 211  7.5 8  7.5  83    0    0 362 -363  0
3844500 2372500  1  1 10  12.4  987 213  8.3 8  7.5  82    0   36 362 -363  0
3844500 2372500  1  1 11  12.5  987 208  8.2 8  7.6  82    0   60 362 -364  0
3844500 2372500  1  1 12  12.5  987 207  7.4 8  7.6  82    0   47 361 -366  0
3844500 2372500  1  1 13  12.6  987 209  7.0 8  7.7  82    0   55 362 -367  0
3844500 2372500  1  1 14  12.6  987 203  6.4 8  7.7  82    0   61 362 -367  0
3844500 2372500  1  1 15  12.9  986 217  5.0 7  7.7  82   10   83 353 -368  0
3844500 2372500  1  1 16  12.9  986 216  7.0 6  7.7  81    5   45 337 -369  0
3844500 2372500  1  1 17  12.3  985 226  6.4 4  7.7  82    0    4 311 -367  0
3844500 2372500  1  1 18  12.7  986 217  7.5 5  7.5  81    0    0 301 -366  0
3844500 2372500  1  1 19  13.0  986 217  7.5 6  7.3  77    0    0 317 -364  0
3844500 2372500  1  1 20  13.2  985 210  7.5 8  7.3  75    0    0 341 -363  0
3844500 2372500  1  1 21  13.2  985 208  7.2 8  7.2  74    0    0 356 -362  0
3844500 2372500  1  1 22  13.5  985 210  6.3 7  7.2  73    0    0 346 -360  0
3844500 2372500  1  1 23  13.1  984 225  4.3 8  7.1  72    0    0 344 -359  0
